"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"204","0.5_4",0.904817192769453,NA,1,0.0951828072305474,NA,100,332936.903,6993521.366
"205","0.5_4",1.03186554214468,NA,1.05,0.0181344578553166,NA,101,332917.427,6993526.003
"206","0.5_4",1.201508035491,NA,0.95,-0.251508035491004,NA,102,332899.095,6993531.915
"207","0.5_4",0.904923074289697,NA,0.45,-0.454923074289697,NA,103,332874.43,6993310.218
"208","0.5_4",0.781629662510131,NA,1,0.218370337489869,NA,104,332893.395,6993303.912
"209","0.5_6",1.4455529627589,NA,1.2,-0.245552962758903,NA,1,333018.618,6993304.537
"210","0.5_6",1.54900024828236,NA,1.2,-0.349000248282362,NA,2,333009.211,6993305.666
"211","0.5_6",1.827484953523,NA,2.7,0.872515046477,NA,3,332999.395,6993306.897
"212","0.5_6",2.28661983861931,NA,2.75,0.463380161380687,NA,4,332991.182,6993308.631
"213","0.5_6",2.83696056404125,NA,3.2,0.363039435958746,NA,5,332982.212,6993310.261
"214","0.5_6",2.9279479077483,NA,3.6,0.672052092251698,NA,6,332972.505,6993312.05
"215","0.5_6",3.15084101341538,NA,2.55,-0.600841013415379,NA,7,332962.585,6993313.789
"216","0.5_6",2.75496375878932,NA,2.8,0.0450362412106795,NA,8,332951.98,6993315.167
"217","0.5_6",2.57373069165528,NA,2.2,-0.373730691655279,NA,9,332941.866,6993316.964
"218","0.5_6",2.06558195854082,NA,2.05,-0.0155819585408223,NA,10,332932.859,6993319.772
"219","0.5_6",1.73981025208453,NA,1.8,0.0601897479154678,NA,11,332922.7,6993321.48
"220","0.5_6",1.40519309910909,NA,0.8,-0.605193099109091,NA,12,332912.373,6993322.869
"221","0.5_6",1.1307096921496,NA,0.95,-0.180709692149602,NA,13,332902.534,6993323.998
"222","0.5_6",0.968175340078306,NA,0.9,-0.0681753400783059,NA,14,332893.525,6993326.322
"223","0.5_6",0.922510486345959,NA,0.85,-0.0725104863459594,NA,15,332883.506,6993328.271
"224","0.5_6",0.86722045957403,NA,1.05,0.18277954042597,NA,16,332873.585,6993329.972
"225","0.5_6",1.07535779983609,NA,0.7,-0.375357799836091,NA,17,332863.701,6993331.885
"226","0.5_6",1.38840932401291,NA,0,-1.38840932401291,NA,18,333015.369,6993324.023
"227","0.5_6",2.14231791577211,NA,1.55,-0.592317915772109,NA,19,332995.003,6993328.256
"228","0.5_6",1.48075366507163,NA,0.7,-0.780753665071625,NA,20,333005.523,6993327.185
"229","0.5_6",2.80636008318789,NA,3.6,0.79363991681211,NA,21,332976.327,6993333.194
"230","0.5_6",2.99214297602544,NA,3.5,0.50785702397456,NA,22,332956.873,6993337.775
"231","0.5_6",2.51843354363802,NA,3.05,0.531566456361982,NA,23,332937.844,6993340.94
"232","0.5_6",1.95077996451289,NA,1.75,-0.20077996451289,NA,24,332918.199,6993343.59
"233","0.5_6",1.30686114832855,NA,1.25,-0.0568611483285466,NA,25,332899.339,6993350.54
"234","0.5_6",1.30641767889026,NA,1.5,0.193582321109739,NA,26,332879.755,6993353.055
"235","0.5_6",1.19323637092946,NA,1.75,0.556763629070539,NA,27,332860.509,6993356.709
"236","0.5_6",2.0531345185427,NA,1.6,-0.453134518542704,NA,28,332865.94,6993375.153
"237","0.5_6",2.01019902425199,NA,1.3,-0.710199024251995,NA,29,332885.685,6993372.82
"238","0.5_6",2.3875908670177,NA,1.35,-1.0375908670177,NA,30,332905.726,6993369.789
"239","0.5_6",2.45275602121739,NA,3.8,1.34724397878261,NA,31,332924.816,6993365.195
"240","0.5_6",3.02896804612225,NA,3.7,0.671031953877746,NA,32,332943.75,6993360.927
