"","run","power","nn","RMSE","cor","ME","MAE","run2"
"46","3_22",3,22,0.775655343005085,0.660473113936685,0.000786762458047376,0.598607169353568,46
"47","3_24",3,24,0.777155829756919,0.658853052788412,3.22216798236194e-05,0.601090194448183,47
"48","3_26",3,26,0.778114130892036,0.657838143149621,-0.00102387691697542,0.602505920678052,48
"49","3_28",3,28,0.779530081938046,0.656315733965321,-0.000257422831343678,0.604511400883113,49
"50","3_30",3,30,0.780265627137345,0.655535976872059,-0.00114479432760517,0.60584610482613,50
"51","3_104",3,104,0.788860593962841,0.646776119981354,0.010132085064255,0.617093587757555,51
"52","4_1",4,1,0.945904634158791,0.577890928848629,0.00721153846153846,0.698557692307692,52
"53","4_2",4,2,0.835298298888618,0.635890368364072,-0.012271896781431,0.626004538607705,53
"54","4_4",4,4,0.772339253086901,0.673081087020787,0.0129942282285741,0.578016800208325,54
"55","4_6",4,6,0.769474444699863,0.672505198620943,0.0139600364535822,0.578673138064876,55
"56","4_8",4,8,0.76413526116335,0.676721358735429,0.0080095719243776,0.576035601962746,56
"57","4_10",4,10,0.767761673893417,0.672348834512613,0.0118419892678331,0.580000585780865,57
"58","4_12",4,12,0.768928469389024,0.670644465499447,0.0118626520439342,0.581057740192391,58
"59","4_14",4,14,0.772373680242945,0.666824803983325,0.0126265653559536,0.584469563732967,59
"60","4_16",4,16,0.772707066650592,0.666223005624199,0.0128171292857845,0.584628300010934,60
"61","4_18",4,18,0.772201594718722,0.666490616668602,0.0127858574855254,0.584255586678739,61
"62","4_20",4,20,0.773745834748175,0.664757897113287,0.0132570917396668,0.585450475937512,62
"63","4_22",4,22,0.774442311252328,0.663881113673405,0.014628558694824,0.585674144421112,63
"64","4_24",4,24,0.775042833232027,0.663161712612349,0.0146117211593837,0.586302592875675,64
"65","4_26",4,26,0.775278209969373,0.662833219516132,0.0144937779612577,0.58645309278678,65
"66","4_28",4,28,0.77571751631078,0.662293928947152,0.014991168790178,0.586827709399956,66
"67","4_30",4,30,0.775968708851229,0.661977624184849,0.0148572457180355,0.587157537011211,67
"68","4_104",4,104,0.778149428263095,0.659257850885882,0.0191863227357771,0.589299785767933,68
