"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"129","1_2",0.416410816225175,NA,0.31,-0.106410816225175,NA,60,-25120.901015184,6859314.56236083
"130","1_2",0.682814470276527,NA,0.51,-0.172814470276527,NA,61,-25118.7101229852,6859333.7885188
"131","1_2",0.600095288594355,NA,1.06,0.459904711405645,NA,62,-25109.7231270965,6859351.18135908
"132","1_2",0.686877943878537,NA,0.75,0.0631220561214632,NA,63,-25105.473702523,6859370.09195859
"133","1_2",0.91306098044256,NA,0.31,-0.60306098044256,NA,64,-25101.1794112041,6859390.35258165
"134","1_2",0.703400344487079,NA,1.07,0.366599655512921,NA,65,-25083.755348267,6859380.67101964
"135","1_2",0.858172483662464,NA,1.02,0.161827516337536,NA,66,-25068.0955025597,6859384.15052271
"136","1_2",1.03876865729727,NA,0.54,-0.498768657297265,NA,67,-25044.1885929066,6859387.15753791
"137","1_2",0.640182804980559,NA,0.36,-0.280182804980559,NA,68,-25090.6418498525,6859361.82542003
"138","1_2",0.809497418788731,NA,0.52,-0.289497418788731,NA,69,-25100.6584503207,6859346.17343104
"139","1_4",1.51627380348451,NA,1.92,0.403726196515486,NA,1,-25280.1736794519,6859376.52279135
"140","1_4",0.844411219800573,NA,1.52,0.675588780199427,NA,2,-25279.216706126,6859396.5036215
"141","1_4",1.05337785834063,NA,0.38,-0.673377858340633,NA,3,-25278.1241740288,6859417.3682769
"142","1_4",0.677020639794966,NA,1.08,0.402979360205034,NA,4,-25275.1842312092,6859437.9496435
"143","1_4",0.769505807105648,NA,0.67,-0.0995058071056482,NA,5,-25277.5674292982,6859457.99037469
"144","1_4",0.919437903667281,NA,0.32,-0.599437903667281,NA,6,-25298.3283242715,6859455.06791894
"145","1_4",0.59806069355566,NA,1.22,0.621939306444339,NA,7,-25295.0668296764,6859435.11861719
"146","1_4",0.871164611409764,NA,0.57,-0.301164611409764,NA,8,-25293.7523458396,6859414.45021317
"147","1_4",1.4689708634568,NA,0.59,-0.878970863456801,NA,9,-25292.0025160508,6859394.50659241
