"","run","power","nn","RMSE","cor","ME","MAE","run2"
"24","2_12",2,12,0.536080069641464,0.556062240880692,-0.0474796109933637,0.425340953554312,24
"25","2_14",2,14,0.535931478356142,0.557248122956404,-0.0489118867070166,0.427185414640726,25
"26","2_16",2,16,0.53493563266258,0.561698335548804,-0.0543111711680143,0.429259566745696,26
"27","2_18",2,18,0.536077949058734,0.560851585168852,-0.0571596233172029,0.432700258802232,27
"28","2_20",2,20,0.535956248602372,0.562639771549419,-0.0561391963596949,0.433692332450061,28
"29","2_22",2,22,0.537953679422978,0.558113262591893,-0.0537171977632163,0.435298980306377,29
"30","2_24",2,24,0.53953021068279,0.555314614855847,-0.0537159774868223,0.437414543372418,30
"31","2_26",2,26,0.538289040539394,0.559729762714952,-0.0525074798587055,0.438162255024908,31
"32","2_28",2,28,0.541179347304724,0.552458959679572,-0.0512442980806252,0.441121785630071,32
"33","2_30",2,30,0.542045404968277,0.551702273140065,-0.0509369842888482,0.442899638267602,33
"34","2_69",2,69,0.549308132195573,0.551881794409662,-0.0369762945823418,0.457096145503243,34
"35","3_1",3,1,0.677054575754957,0.350498899534835,-0.0194202898550725,0.502608695652174,35
"36","3_2",3,2,0.559941490080625,0.54137344574801,-0.00911316197729039,0.407032871683852,36
"37","3_4",3,4,0.550771147201517,0.547670713024778,-0.0251109882949016,0.414664750188482,37
"38","3_6",3,6,0.542155483522428,0.55203371339864,-0.0246646774226698,0.415969110923829,38
"39","3_8",3,8,0.534283548985246,0.564165520551619,-0.0310051847089218,0.407208896642045,39
"40","3_10",3,10,0.531270219794383,0.567947611857828,-0.0334769205587801,0.408256668303173,40
"41","3_12",3,12,0.533985612587598,0.561366213932725,-0.0338641733457678,0.411412410182499,41
"42","3_14",3,14,0.532811200037505,0.562974677527061,-0.0337552327883109,0.411116398030275,42
"43","3_16",3,16,0.531353896462378,0.565950177642445,-0.0359339802054547,0.411766327140216,43
"44","3_18",3,18,0.531098837335982,0.566273967385162,-0.0367771199525686,0.412120688148488,44
"45","3_20",3,20,0.530453285912157,0.56728847459769,-0.0360792911141957,0.412731373079235,45
"46","3_22",3,22,0.530960809709362,0.565838466972625,-0.0348889676067208,0.413500807782833,46
"47","3_24",3,24,0.531266942113492,0.56502393918589,-0.0347257540963945,0.414168719476751,47
"48","3_26",3,26,0.530260423268647,0.567125668874098,-0.0342329053032493,0.414042848013976,48
"49","3_28",3,28,0.531110232870246,0.565100686438764,-0.0336692909449612,0.414812305176764,49
"50","3_30",3,30,0.531195632595626,0.564829805821697,-0.0333594299103844,0.415225008244877,50
"51","3_69",3,69,0.531119345771974,0.564799662878697,-0.0287615472818845,0.418217466278031,51
"52","4_1",4,1,0.677054575754957,0.350498899534835,-0.0194202898550725,0.502608695652174,52
"53","4_2",4,2,0.565240215803691,0.534625061695143,-0.0105260282051184,0.41019587499224,53
"54","4_4",4,4,0.555094186791994,0.543078582927882,-0.0244638401061676,0.413953182628239,54
"55","4_6",4,6,0.548603086085556,0.545610490170229,-0.0231449587207986,0.413771682776019,55
"56","4_8",4,8,0.542785114117522,0.553678307880522,-0.0264907131559007,0.407617766372849,56
"57","4_10",4,10,0.540399684442117,0.556087761355223,-0.0276389249821414,0.407456954996782,57
"58","4_12",4,12,0.54119306186837,0.55352650269149,-0.0274406399594747,0.408722328080676,58
"59","4_14",4,14,0.540244831791409,0.554427028606605,-0.027030373070634,0.408386254288215,59
"60","4_16",4,16,0.539265266536451,0.555904685742259,-0.0278227160902399,0.408672172001789,60
"61","4_18",4,18,0.538886783590797,0.556231620165633,-0.0280065646118703,0.408624877164041,61
"62","4_20",4,20,0.538437888584246,0.55663131655588,-0.027603755950705,0.408639119531663,62
"63","4_22",4,22,0.538495816437823,0.556146467039388,-0.0270578504380651,0.40880980404171,63
"64","4_24",4,24,0.538467019377519,0.555937124975634,-0.0269080792236543,0.408993747375246,64
"65","4_26",4,26,0.537932724259326,0.556768493192942,-0.0267060161572335,0.408898084887391,65
"66","4_28",4,28,0.538134811594352,0.556183825533216,-0.0264874967287258,0.409133741053035,66
"67","4_30",4,30,0.538072437731216,0.556128387879536,-0.0263142424828974,0.409216335873758,67
"68","4_69",4,69,0.537461423140955,0.556203736833531,-0.0249455660794098,0.409718582683344,68
