;GEILO_TO_;GEILO_TO_I;OPPR;KOORDH;XML_TYPE;Dybde;GML_ID;GML_GEOMET;MALEMETODE;NOYAKTIGHE;SYNBARHET;H_MALEMETO;H_NOYAKTIG;MAX_AVVIK;AJOUR;OBJTYPE;x;y
152;0;0;3;0;xml_point;0.5;myr_djupn.151;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456316;6709835
153;0;0;3;0;xml_point;0.6;myr_djupn.152;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456301;6709821
154;0;0;3;0;xml_point;0.4;myr_djupn.153;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456272;6709766
155;0;0;3;0;xml_point;0.8;myr_djupn.154;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456265;6709756
156;0;0;3;0;xml_point;0.8;myr_djupn.155;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456265;6709740
157;0;0;3;0;xml_point;0.8;myr_djupn.156;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456264;6709730
158;0;0;3;0;xml_point;0.9;myr_djupn.157;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456266;6709719
159;0;0;3;0;xml_point;0.9;myr_djupn.158;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456260;6709748
160;0;0;3;0;xml_point;0.8;myr_djupn.159;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456258;6709759
161;0;0;3;0;xml_point;0.5;myr_djupn.160;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456258;6709777
162;0;0;3;0;xml_point;0.8;myr_djupn.161;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456244;6709781
163;0;0;3;0;xml_point;0.5;myr_djupn.162;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456244;6709798
164;0;0;3;0;xml_point;0.8;myr_djupn.163;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456252;6709821
165;0;0;3;0;xml_point;0.7;myr_djupn.164;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456275;6709805
166;0;0;3;0;xml_point;0.7;myr_djupn.165;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456284;6709812
167;0;0;3;0;xml_point;0.7;myr_djupn.166;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456283;6709827
168;0;0;3;0;xml_point;0.6;myr_djupn.167;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456290;6709846
169;0;0;3;0;xml_point;0.8;myr_djupn.168;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456276;6709857
170;0;0;3;0;xml_point;0.6;myr_djupn.169;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456265;6709855
171;0;0;3;0;xml_point;0.8;myr_djupn.170;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456320;6709887
172;0;0;3;0;xml_point;0.9;myr_djupn.171;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456383;6709900
173;0;0;3;0;xml_point;0.7;myr_djupn.172;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456386;6709904
174;0;0;3;0;xml_point;0.4;myr_djupn.173;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456357;6709966
175;0;0;3;0;xml_point;0.6;myr_djupn.174;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456331;6709971
176;0;0;3;0;xml_point;0.9;myr_djupn.175;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456327;6709983
177;0;0;3;0;xml_point;0.9;myr_djupn.176;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456335;6709997
178;0;0;3;0;xml_point;0.9;myr_djupn.177;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456316;6709997
179;0;0;3;0;xml_point;0.9;myr_djupn.178;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456324;6710012
180;0;0;3;0;xml_point;1;myr_djupn.179;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456315;6710021
181;0;0;3;0;xml_point;0.9;myr_djupn.180;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456301;6710002
182;0;0;3;0;xml_point;0.6;myr_djupn.181;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456296;6710013
183;0;0;3;0;xml_point;1;myr_djupn.182;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456305;6710025
184;0;0;3;0;xml_point;0.6;myr_djupn.183;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456290;6710034
185;0;0;3;0;xml_point;0.7;myr_djupn.184;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456278;6710025
186;0;0;3;0;xml_point;1;myr_djupn.185;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456276;6710038
187;0;0;3;0;xml_point;0.5;myr_djupn.186;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456261;6710030
188;0;0;3;0;xml_point;0.8;myr_djupn.187;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456250;6710032
189;0;0;3;0;xml_point;0.8;myr_djupn.188;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456254;6710047
190;0;0;3;0;xml_point;0.5;myr_djupn.189;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456237;6710040
191;0;0;3;0;xml_point;0.6;myr_djupn.190;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456218;6710060
192;0;0;3;0;xml_point;0.9;myr_djupn.191;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456200;6710058
193;0;0;3;0;xml_point;0.6;myr_djupn.192;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456209;6710042
194;0;0;3;0;xml_point;0.6;myr_djupn.193;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456185;6710041
195;0;0;3;0;xml_point;0.9;myr_djupn.194;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456175;6710023
196;0;0;3;0;xml_point;0.8;myr_djupn.195;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456157;6710027
197;0;0;3;0;xml_point;0.6;myr_djupn.196;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456168;6710080
198;0;0;3;0;xml_point;0.5;myr_djupn.197;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456204;6710107
199;0;0;3;0;xml_point;0.7;myr_djupn.198;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456216;6710081
200;0;0;3;0;xml_point;0.4;myr_djupn.199;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456224;6710074
201;0;0;3;0;xml_point;0.9;myr_djupn.200;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456235;6710065
202;0;0;3;0;xml_point;0.5;myr_djupn.201;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456249;6710065
203;0;0;3;0;xml_point;0.7;myr_djupn.202;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456271;6710043
204;0;0;3;0;xml_point;0.5;myr_djupn.203;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456314;6710052
205;0;0;3;0;xml_point;0.7;myr_djupn.204;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456317;6710060
206;0;0;3;0;xml_point;0.9;myr_djupn.205;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456324;6710044
207;0;0;3;0;xml_point;0.8;myr_djupn.206;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456330;6710034
208;0;0;3;0;xml_point;0.7;myr_djupn.207;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456325;6710020
209;0;0;3;0;xml_point;0.9;myr_djupn.208;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456338;6710002
210;0;0;3;0;xml_point;1;myr_djupn.209;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456345;6709987
211;0;0;3;0;xml_point;0.5;myr_djupn.210;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455799;6709695
212;0;0;3;0;xml_point;0.6;myr_djupn.211;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455819;6709712
213;0;0;3;0;xml_point;0.6;myr_djupn.212;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455833;6709707
214;0;0;3;0;xml_point;0.4;myr_djupn.213;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455842;6709695
215;0;0;3;0;xml_point;0.7;myr_djupn.214;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455868;6709695
216;0;0;3;0;xml_point;0.7;myr_djupn.215;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455883;6709704
217;0;0;3;0;xml_point;0.7;myr_djupn.216;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455890;6709699
218;0;0;3;0;xml_point;0.5;myr_djupn.217;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455900;6709699
219;0;0;3;0;xml_point;0.5;myr_djupn.218;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455905;6709699
220;0;0;3;0;xml_point;0.4;myr_djupn.219;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455915;6709705
221;0;0;3;0;xml_point;1;myr_djupn.220;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455947;6709736
222;0;0;3;0;xml_point;0.7;myr_djupn.221;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455952;6709727
223;0;0;3;0;xml_point;0.8;myr_djupn.222;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455952;6709710
224;0;0;3;0;xml_point;0.5;myr_djupn.223;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455940;6709703
225;0;0;3;0;xml_point;0.5;myr_djupn.224;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455929;6709696
226;0;0;3;0;xml_point;0.4;myr_djupn.225;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455896;6709690
227;0;0;3;0;xml_point;0.6;myr_djupn.226;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455860;6709676
228;0;0;3;0;xml_point;0.3;myr_djupn.227;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455807;6709684
229;0;0;3;0;xml_point;0.8;myr_djupn.228;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455805;6709690
230;0;0;3;0;xml_point;0.4;myr_djupn.229;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455803;6709690
231;0;0;3;0;xml_point;0.3;myr_djupn.230;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455812;6709682
232;0;0;3;0;xml_point;0.7;myr_djupn.231;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455838;6709694
233;0;0;3;0;xml_point;0.7;myr_djupn.232;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455438;6709562
234;0;0;3;0;xml_point;0.4;myr_djupn.233;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455425;6709569
235;0;0;3;0;xml_point;0.4;myr_djupn.234;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455423;6709587
236;0;0;3;0;xml_point;0.4;myr_djupn.235;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455403;6709577
237;0;0;3;0;xml_point;0.4;myr_djupn.236;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455404;6709565
238;0;0;3;0;xml_point;0.5;myr_djupn.237;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455407;6709549
239;0;0;3;0;xml_point;0.6;myr_djupn.238;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455396;6709541
240;0;0;3;0;xml_point;0.7;myr_djupn.239;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455385;6709542
241;0;0;3;0;xml_point;0.5;myr_djupn.240;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455371;6709546
242;0;0;3;0;xml_point;0.5;myr_djupn.241;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455357;6709553
243;0;0;3;0;xml_point;0.5;myr_djupn.242;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455359;6709566
244;0;0;3;0;xml_point;0.6;myr_djupn.243;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455364;6709575
245;0;0;3;0;xml_point;0.5;myr_djupn.244;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455354;6709579
246;0;0;3;0;xml_point;0.6;myr_djupn.245;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455370;6709592
247;0;0;3;0;xml_point;0.5;myr_djupn.246;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455391;6709603
248;0;0;3;0;xml_point;0.6;myr_djupn.247;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455399;6709613
249;0;0;3;0;xml_point;0.4;myr_djupn.248;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455396;6709635
250;0;0;3;0;xml_point;0.4;myr_djupn.249;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455403;6709639
251;0;0;3;0;xml_point;0.5;myr_djupn.250;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455424;6709647
252;0;0;3;0;xml_point;0.4;myr_djupn.251;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455438;6709645
253;0;0;3;0;xml_point;0.4;myr_djupn.252;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455453;6709656
254;0;0;3;0;xml_point;0.4;myr_djupn.253;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455476;6709663
255;0;0;3;0;xml_point;0.6;myr_djupn.254;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455483;6709672
256;0;0;3;0;xml_point;0.5;myr_djupn.255;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455482;6709674
257;0;0;3;0;xml_point;0.4;myr_djupn.256;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455483;6709682
258;0;0;3;0;xml_point;0.7;myr_djupn.257;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455505;6709683
259;0;0;3;0;xml_point;0.5;myr_djupn.258;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455523;6709686
