"","run","power","nn","RMSE","cor","ME","MAE","run2"
"49","2_28",2,28,0.526042305439101,0.568258735189447,-0.0188421972780337,0.396557948931325,49
"50","2_30",2,30,0.526112296218757,0.567691518823173,-0.0188807846571926,0.397062735441801,50
"51","2_1137",2,1137,0.542052919261397,0.526070213390861,-0.0220296886547061,0.41930010581037,51
"52","3_1",3,1,0.660168417519261,0.438394412775363,0.00378188214599824,0.471328056288478,52
"53","3_2",3,2,0.594137228113429,0.499981118173614,0.00219632124971877,0.432558824160762,53
"54","3_4",3,4,0.557270871285254,0.54388633790505,-0.00568469938954497,0.405957085438557,54
"55","3_6",3,6,0.545242102539024,0.55858711021947,-0.00877714393726995,0.400107008145873,55
"56","3_8",3,8,0.543920785516673,0.557021795613107,-0.00802664922623965,0.399777334387255,56
"57","3_10",3,10,0.542916561340844,0.556490767350494,-0.00796536688733355,0.399186864021591,57
"58","3_12",3,12,0.543087126376017,0.554658469120032,-0.00831899869380826,0.399914075912285,58
"59","3_14",3,14,0.543044573545311,0.553584878149628,-0.00857947246149717,0.400393562324312,59
"60","3_16",3,16,0.542953353469127,0.552714541810822,-0.00845715688893384,0.400659465473405,60
"61","3_18",3,18,0.542775656602741,0.552117123503749,-0.00834200689979246,0.40082015651664,61
"62","3_20",3,20,0.54240279707109,0.552073111846504,-0.00821522708279031,0.400875660782468,62
"63","3_22",3,22,0.542499601623108,0.551235826088076,-0.00818602731896054,0.40133365968928,63
"64","3_24",3,24,0.542810739232491,0.550094929348852,-0.00840677314309622,0.401848557967794,64
"65","3_26",3,26,0.542772857987962,0.549667302246467,-0.00848510384680975,0.401989515656644,65
"66","3_28",3,28,0.542732428615352,0.549332320302127,-0.00845531057745977,0.402154814135522,66
"67","3_30",3,30,0.542693996596126,0.549010124525424,-0.0084182804512339,0.402303124989168,67
"68","3_1137",3,1137,0.544334444980277,0.538655011571372,-0.00937280731821237,0.407051508184623,68
"69","4_1",4,1,0.660168417519261,0.438394412775363,0.00378188214599824,0.471328056288478,69
"70","4_2",4,2,0.601054465347479,0.492757313388701,0.0032993298817573,0.436100027543078,70
"71","4_4",4,4,0.571024203905554,0.527609479062226,-0.0028805309390625,0.414581990447382,71
"72","4_6",4,6,0.562120399405315,0.537780304836271,-0.00491814064493616,0.409863328329538,72
"73","4_8",4,8,0.56106031050534,0.536729118077078,-0.00435552393592655,0.409561398613738,73
"74","4_10",4,10,0.560262292808213,0.5364868298902,-0.00418068296768233,0.409026162847962,74
"75","4_12",4,12,0.560252159524528,0.535505204021224,-0.00423144732953346,0.409421250989041,75
"76","4_14",4,14,0.560171479654093,0.5349382315651,-0.00432668437073967,0.409653152796588,76
"77","4_16",4,16,0.560109578044009,0.534448344647119,-0.00424001512585447,0.409804205765998,77
"78","4_18",4,18,0.560003046368964,0.534125206508806,-0.0041627741276868,0.409790417428276,78
"79","4_20",4,20,0.559805862471498,0.534079133445675,-0.00406418273542697,0.409736540303714,79
"80","4_22",4,22,0.559808072069041,0.533738099170336,-0.00401189589174849,0.409874154898288,80
"81","4_24",4,24,0.55990069558827,0.53328689125796,-0.00408586687904551,0.41007462202024,81
"82","4_26",4,26,0.559872102596672,0.533097073986061,-0.00410673108951905,0.410126998086707,82
"83","4_28",4,28,0.559839637880804,0.532959985288671,-0.0040754154223101,0.41015318371976,83
"84","4_30",4,30,0.559823947430645,0.532802685822578,-0.00404271811647618,0.410209271948558,84
"85","4_1137",4,1137,0.559950582146229,0.53023221356148,-0.0041878521590213,0.411054050498871,85
